full_name,phone,city,house_id,Bed_type,rent
anusha pariti,8105987404,Bangalore,5,bed,7500
Garima yadav,81059237004,Bangalore,1,bed,8000
Kamal gera,8105987404,Bangalore,6,bed,6500
Tushar kapoor,8926537154,Pune,7,bed,7200
Deepa sudhakar,7896785432,Pune,19,bed,8000
Manisha Yadav,9867845182,Delhi,18,room,13500
Shivani godha,9878673428,Delhi,13,bed,6500
Rajan pandey,8987647811,delhi,17,bed,6500
Roosena manuel,9875623345,Delhi,14,room,10500
Prabhjot gill,9800786688,Delhi,16,bed,8000
Ankita sharma,9988789656,Delhi,20,bed,7500
